user_id,group_name,converted
197,test,1
198,control,0
199,test,0
200,test,0
201,control,0
202,control,0
203,control,0
204,control,0
205,control,0
206,test,0
207,control,0
208,control,0
209,control,0
210,control,0
211,control,0
212,control,0
213,test,0
214,test,0
215,control,0
216,test,0
217,test,0
218,test,0
219,test,0
220,control,0
221,test,0
222,test,0
223,control,0
224,test,0
225,control,0
226,control,0
227,control,0
228,control,0
229,test,1
230,test,0
231,test,0
232,control,0
233,control,0
234,test,0
235,control,0
236,test,0
237,test,0
238,control,0
239,test,0
240,test,0
241,control,0
242,test,0
243,test,0
244,control,1
245,control,0
246,test,0
247,test,0
248,control,0
249,control,0
250,test,0
251,control,0
252,control,1
253,control,0
254,control,0
255,control,0
256,control,0
257,control,0
258,control,0
259,test,0
260,control,0
261,test,1
262,control,0
263,control,0
264,test,0
265,test,0
266,control,0
267,test,0
268,control,0
269,control,0
270,control,0
271,test,0
272,test,0
273,test,0
274,control,0
275,control,0
276,test,0
277,test,0
278,test,0
279,test,0
280,control,0
281,test,0
282,test,0
283,test,0
284,control,0
285,test,0
286,test,0
287,test,0
288,control,0
289,test,0
290,test,1
291,control,0
292,test,0
293,control,0
294,control,0
295,test,0
296,control,0
297,control,0
298,control,1
299,test,0
300,control,0
301,control,1
302,test,0
303,control,0
304,test,0
305,test,0
306,test,0
307,test,0
308,test,0
309,test,0
310,test,0
311,test,0
312,test,0
313,test,0
314,control,0
315,test,1
316,control,0
317,control,0
318,control,0
319,control,0
320,control,0
321,test,0
322,control,0
323,control,0
324,control,0
325,control,0
326,control,0
327,test,0
328,control,0
329,control,0
330,control,1
331,test,0
332,control,0
333,control,0
334,control,0
335,control,0
336,control,0
337,control,1
338,test,0
339,control,0
340,test,0
341,test,0
342,control,0
343,control,0
344,control,0
345,test,0
346,control,0
347,control,0
348,control,0
349,control,1
350,control,0
351,control,0
352,test,0
353,control,0
354,control,0
355,test,0
356,control,0
357,control,0
358,test,0
359,control,0
360,test,0
361,control,0
362,control,0
363,control,0
364,control,1
365,control,0
366,test,0
367,test,1
368,control,0
369,test,0
370,test,0
371,test,0
372,test,0
373,control,0
374,control,0
375,test,0
376,test,0
377,test,0
378,control,0
379,test,0
380,control,0
381,test,1
382,control,0
383,control,0
384,test,0
385,test,0
386,control,0
387,control,0
388,control,0
389,control,0
390,test,0
391,control,0
392,control,0
393,test,0
394,test,0
395,control,0
396,test,0
397,test,0
398,test,0
399,control,0
400,test,1
401,test,0
402,test,0
403,test,0
404,control,0
405,test,0
406,test,0
407,test,0
408,test,0
409,control,0
410,test,0
411,test,0
412,test,0
413,test,0
414,test,0
415,control,0
416,test,0
417,test,0
418,control,0
419,control,0
420,control,0
421,control,0
422,test,0
423,control,0
424,test,0
425,control,0
426,control,0
427,test,1
428,control,0
429,test,0
430,test,0
431,control,0
432,control,0
433,test,0
434,test,0
435,control,0
436,test,0
437,control,0
438,control,0
439,test,0
440,control,0
441,control,1
442,test,0
443,test,0
444,control,0
445,test,0
446,test,0
447,control,0
448,control,0
449,test,0
450,control,0
451,test,0
452,control,0
453,test,0
454,test,0
455,control,0
456,test,0
457,test,0
458,test,0
459,control,0
460,control,0
461,test,0
462,test,0
463,control,0
464,control,0
465,control,0
466,test,0
467,test,0
468,test,0
469,control,0
470,control,0
471,control,0
472,test,1
473,control,0
474,control,0
475,control,0
476,control,0
477,test,0
478,test,0
479,test,0
480,test,0
481,control,0
482,control,0
483,control,0
484,test,0
485,test,0
486,control,0
487,test,0
488,test,0
489,control,0
490,test,0
491,test,0
492,control,0
493,control,0
494,test,0
495,test,0
496,test,0
497,control,0
498,test,0
499,test,0
500,control,0
